Speciality;Symptoms
Otolaryngologist;headache, loss of balance, nausea, spinning movements, unsteadiness, vomiting
Osteopathic;extra marital contacts, high fever, muscle wasting, patches in throat
Dermatologist;blackheads, pus filled pimples, scurring, skin rash
Hepatologist;abdominal pain, distention of abdomen, fluid overload, history of alcohol consumption, swelling of stomach, vomiting, yellowish skin
Allergist;chills, continuous sneezing, shivering, watering from eyes
Rheumatologist;movement stiffness, muscle weakness, painful walking, stiff neck, swelling joints
Pulmonologist;breathlessness, cough, family history, fatigue, high fever, mucoid sputum
Neurologist;back pain, dizziness, loss of balance, neck pain, weakness in limbs
Dermatologist;fatigue, headache, high fever, itching, lethargy, loss of appetite, malaise, mild fever, red spots over body, skin rash, swelled lymph nodes
Hepatologist;abdominal pain, itching, loss of appetite, nausea, vomiting, yellowing of eyes, yellowish skin
Otolaryngologist;chest pain, chills, congestion, continuous sneezing, cough, fatigue, headache, high fever, loss of smell, malaise, muscle pain, phlegm, redness of eyes, runny nose, sinus pressure, swelled lymph nodes, throat irritation
Internal Medicine;back pain, chills, fatigue, headache, high fever, joint pain, loss of appetite, malaise, muscle pain, nausea, pain behind the eyes, red spots over body, skin rash, vomiting
Endocrinologist;blurred and distorted vision, excessive hunger, fatigue, increased appetite, irregular sugar level, lethargy, obesity, polyuria, restlessness, weight loss
Gastroenterologist;bloody stool, constipation, irritation in anus, pain during bowel movements, pain in anal region
Allergist;burning micturition, itching, skin rash, spotting urination, stomach pain
Dermatologist;dischromic patches, itching, nodal skin eruptions, skin rash
Gastroenterologist;acidity, chest pain, cough, stomach pain, ulcers on tongue, vomiting
Gastroenterologist;dehydration, diarrhoea, sunken eyes, vomiting
Cardiologist;breathlessness, chest pain, sweating, vomiting
Hepatologist;abdominal pain, dark urine, diarrhoea, joint pain, loss of appetite, mild fever, muscle pain, nausea, vomiting, yellowing of eyes, yellowish skin
Hepatologist;abdominal pain, dark urine, fatigue, itching, lethargy, loss of appetite, malaise, receiving blood transfusion, receiving unsterile injections, yellow urine, yellowing of eyes, yellowish skin
Hepatologist;family history, fatigue, loss of appetite, nausea, yellowing of eyes, yellowish skin
Hepatologist;abdominal pain, dark urine, fatigue, joint pain, loss of appetite, nausea, vomiting, yellowing of eyes, yellowish skin
Hepatologist;abdominal pain, acute liver failure, coma, dark urine, fatigue, high fever, joint pain, loss of appetite, nausea, stomach bleeding, vomiting, yellowing of eyes, yellowish skin
Cardiologist;chest pain, dizziness, headache, lack of concentration, loss of balance
Endocrinologist;abnormal menstruation, diarrhoea, excessive hunger, fast heart rate, fatigue, irritability, mood swings, muscle weakness, restlessness, sweating, weight loss
Endocrinologist;anxiety, blurred and distorted vision, drying and tingling lips, excessive hunger, fatigue, headache, irritability, nausea, palpitations, slurred speech, sweating, vomiting
Endocrinologist;abnormal menstruation, brittle nails, cold hands and feets, depression, dizziness, enlarged thyroid, fatigue, irritability, lethargy, mood swings, puffy face and eyes, swollen extremeties, weight gain
Dermatologist;blister, high fever, red sore around nose, skin rash, yellow crust ooze
Gastroenterologist;abdominal pain, dark urine, fatigue, high fever, itching, vomiting, weight loss, yellowish skin
Internal Medicine;chills, diarrhoea, headache, high fever, muscle pain, nausea, sweating, vomiting
Neurologist;acidity, blurred and distorted vision, depression, excessive hunger, headache, indigestion, irritability, stiff neck, visual disturbances
Rheumatologist;hip joint pain, joint pain, knee pain, neck pain, painful walking, swelling joints
Neurologist;altered sensorium, headache, vomiting, weakness of one body side
Gastroenterologist;abdominal pain, indigestion, internal itching, loss of appetite, passage of gases, vomiting
Pulmonologist;breathlessness, chest pain, chills, cough, fast heart rate, fatigue, high fever, malaise, phlegm, rusty sputum, sweating
Dermatologist;inflammatory nails, joint pain, silver like dusting, skin peeling, skin rash, small dents in nails
Tuberculosis;blood in sputum, breathlessness, chest pain, chills, cough, fatigue, high fever, loss of appetite, malaise, mild fever, phlegm, sweating, swelled lymph nodes, vomiting, weight loss, yellowing of eyes
Pediatrician;abdominal pain, belly pain, chills, constipation, diarrhoea, fatigue, headache, high fever, nausea, toxic look (typhos), vomiting
Gynecologist;bladder discomfort, burning micturition, continuous feel of urine, fever, foul smell of urine, frequent urination, lower abdominal pain, lower back pain, pelvic pain
Phlebologist;bruising, cramps, fatigue, obesity, prominent veins on calf, swollen blood vessels, swollen legs
Nephrologist;back pain, chills, fever, flank pain, frequent urination, kidney pain, nausea, painful urination, vomiting
Urologist;back pain, blood in urine, frequent urination, groin pain, intense flank pain, lower abdominal pain, nausea, restlessness, vomiting
Surgeon;abdominal tenderness, fever, loss of appetite, lower right abdominal pain, nausea, vomiting
