Specialite;Symptomes
ORL (oto-rhino-laryngologiste);instabilité, maux de tête, nausées, perte d'équilibre, tournoyante selles, vomissements
Ostéopathe;contacts extraconjugaux, fièvre élevée, fonte musculaire, plaques dans la gorge
Dermatologue;boutons remplis de pus, desquamation, points noirs, éruption cutanée
Hépatologue;antécédents de consommation d'alcool, distension de l'abdomen, douleur abdominale, gonflement de l'estomac, peau jaunâtre, surcharge hydrique, vomissements
Allergologue;frissons, larmoiement, tremblements, éternuements continus
Rhumatologue;faiblesse musculaire, gonflement articulations, marche douloureuse, raideur des mouvements, stiff cou
Pneumologue;crachats mucoïdes, essoufflement, family antécédents, fatigue, fièvre élevée, toux
Neurologue;douleur de cou, douleur dorsale, faiblesse des membres, perte d'équilibre, étourdissements
Dermatologue;démangeaisons, fatigue, fièvre légère, fièvre élevée, ganglions lymphatiques gonflés, léthargie, malaise, maux de tête, perte d'appétit, red taches over corps, éruption cutanée
Hépatologue;douleur abdominale, démangeaisons, jaunissement des yeux, nausées, peau jaunâtre, perte d'appétit, vomissements
ORL (oto-rhino-laryngologiste);congestion, douleur musculaire, douleur thoracique, fatigue, fièvre élevée, frissons, ganglions lymphatiques gonflés, irritation de la gorge, malaise, maux de tête, mucosités, nez qui coule, perte de l'odorat, pression des sinus, rougeur des yeux, toux, éternuements continus
Médecin interniste;douleur articulaire, douleur derrière les yeux, douleur dorsale, douleur musculaire, fatigue, fièvre élevée, frissons, malaise, maux de tête, nausées, perte d'appétit, red taches over corps, vomissements, éruption cutanée
Endocrinologue;agitation, augmentation de l'appétit, faim excessive, fatigue, irrégulier sucre niveau, léthargie, obésité, perte de poids, polyurie, vision floue et déformée
Gastro-entérologue;
Allergologue;brûlures à la miction, douleur à l'estomac, démangeaisons, spotting urination, éruption cutanée
Dermatologue;démangeaisons, taches dyschromiques, éruption cutanée, éruptions cutanées nodulaires
Gastro-entérologue;acidité, douleur thoracique, douleur à l'estomac, toux, ulcères sur la langue, vomissements
Gastro-entérologue;diarrhée, déshydratation, sunken yeux, vomissements
Cardiologue;douleur thoracique, essoufflement, transpiration, vomissements
Hépatologue;diarrhée, douleur abdominale, douleur articulaire, douleur musculaire, fièvre légère, jaunissement des yeux, nausées, peau jaunâtre, perte d'appétit, urines foncées, vomissements
Hépatologue;douleur abdominale, démangeaisons, fatigue, injections non stériles, jaunissement des yeux, léthargie, malaise, peau jaunâtre, perte d'appétit, transfusion sanguine récente, urines foncées, urines jaunes
Hépatologue;family antécédents, fatigue, jaunissement des yeux, nausées, peau jaunâtre, perte d'appétit
Hépatologue;douleur abdominale, douleur articulaire, fatigue, jaunissement des yeux, nausées, peau jaunâtre, perte d'appétit, urines foncées, vomissements
Hépatologue;coma, douleur abdominale, douleur articulaire, estomac bleeding, fatigue, fièvre élevée, insuffisance hépatique aiguë, jaunissement des yeux, nausées, peau jaunâtre, perte d'appétit, urines foncées, vomissements
Cardiologue;douleur thoracique, manque de concentration, maux de tête, perte d'équilibre, étourdissements
Endocrinologue;agitation, diarrhée, faiblesse musculaire, faim excessive, fatigue, irritabilité, menstruations anormales, perte de poids, sautes d'humeur, tachycardie, transpiration
Endocrinologue;anxiété, dessèchement et picotements lèvres, faim excessive, fatigue, irritabilité, maux de tête, nausées, palpitations, transpiration, troubles de l' parole, vision floue et déformée, vomissements
Endocrinologue;augmentés thyroïde, dépression, fatigue, fragiles ongles, froid hands et feets, irritabilité, léthargie, menstruations anormales, prise de poids, sautes d'humeur, visage et yeux bouffis, étourdissements, œdème des extrémités
Dermatologue;ampoule, fièvre élevée, red sore around nez, suintement de croûtes jaunes, éruption cutanée
Gastro-entérologue;douleur abdominale, démangeaisons, fatigue, fièvre élevée, peau jaunâtre, perte de poids, urines foncées, vomissements
Médecin interniste;diarrhée, douleur musculaire, fièvre élevée, frissons, maux de tête, nausées, transpiration, vomissements
Neurologue;acidité, dépression, faim excessive, indigestion, irritabilité, maux de tête, stiff cou, vision floue et déformée, visuels troubles
Rhumatologue;douleur articulaire, douleur d'hanche articulation, douleur de cou, douleur de knee, gonflement articulations, marche douloureuse
Neurologue;altération de la conscience, faiblesse d'un côté du corps, maux de tête, vomissements
Gastro-entérologue;douleur abdominale, indigestion, internal démangeaisons, passage de gaz, perte d'appétit, vomissements
Pneumologue;crachats rouillés, douleur thoracique, essoufflement, fatigue, fièvre élevée, frissons, malaise, mucosités, tachycardie, toux, transpiration
Dermatologue;douleur articulaire, inflammatory ongles, peau peeling, petits creux dans les ongles, squames argentées, éruption cutanée
Tuberculose;douleur thoracique, essoufflement, fatigue, fièvre légère, fièvre élevée, frissons, ganglions lymphatiques gonflés, jaunissement des yeux, malaise, mucosités, perte d'appétit, perte de poids, sang dans les crachats, toux, transpiration, vomissements
Pédiatre;constipation, diarrhée, douleur abdominale, douleur au ventre, fatigue, fièvre élevée, frissons, maux de tête, nausées, toxique aspect (typhos), vomissements
Gynécologue;brûlures à la miction, douleur bas-ventre, douleur lombaire, douleur pelvienne, envie fréquente d'uriner, fièvre, mauvaise odeur urine, sensation continue d'uriner, vessie inconfort
Phlébologue;crampes, ecchymoses, fatigue, jambes gonflées, obésité, swollen sang vessels, veines saillantes sur le mollet
Néphrologue;douleur lombaire, douleur rénale, fièvre élevée, frissons, nausées, vomissements, brûlures à la miction, urines troubles, fatigue
Urologue;douleur lombaire intense, douleur abdominale, douleur irradiant vers l'aine, nausées, vomissements, sang dans les urines, envie fréquente d'uriner, agitation
Chirurgien;douleur bas-ventre droit, douleur abdominale, nausées, vomissements, fièvre légère, perte d'appétit, sensibilité abdominale
