Maladie,Description
Réaction médicamenteuse,Une réaction indésirable à un médicament (effet indésirable) est un dommage ou symptôme provoqué par la prise d’un traitement. Elle peut survenir à dose normale ou lors d’une interaction entre plusieurs médicaments.
Paludisme,"Maladie infectieuse due à des parasites du genre Plasmodium, transmise le plus souvent par la piqûre de moustiques Anopheles. Elle peut aussi se transmettre par transfusion ou aiguilles contaminées; Plasmodium falciparum est la forme la plus grave."
Allergie,"Réaction du système immunitaire à une substance normalement inoffensive (allergène), comme le pollen, certains aliments ou les poils d’animaux. Elle peut provoquer éternuements, démangeaisons, éruption cutanée ou difficultés respiratoires."
Hypothyroïdie,"Trouble où la glande thyroïde ne produit pas assez d’hormones thyroïdiennes, entraînant notamment fatigue, prise de poids, frilosité et ralentissement du métabolisme."
Psoriasis,"Maladie inflammatoire chronique de la peau provoquant des plaques épaisses, rouges et squameuses, souvent au cuir chevelu, aux coudes, aux genoux et au bas du dos. Elle n’est pas contagieuse."
RGO (reflux gastro-œsophagien),Le reflux gastro-œsophagien (RGO) est un trouble digestif où le contenu acide de l’estomac remonte dans l’œsophage. Il cause fréquemment des brûlures d’estomac et des remontées acides.
Cholestase chronique,"Diminution ou blocage prolongé de l’écoulement de la bile, pouvant entraîner prurit, jaunisse et troubles de l’absorption des graisses et vitamines."
Hépatite A,"Infection virale du foie causée par le virus de l’hépatite A, transmise surtout par voie oro‑fécale (eau ou aliments contaminés). Elle provoque fatigue, nausées, douleurs abdominales et parfois jaunisse."
Arthrose,"Affection dégénérative des articulations due à l’usure du cartilage, entraînant douleur, raideur et diminution de la mobilité."
Vertige positionnel paroxystique bénin (VPPB),"Trouble fréquent de l’équilibre (VPPB) dû au déplacement de petits cristaux dans l’oreille interne, provoquant des épisodes brefs de vertige lors des changements de position de la tête."
Hypoglycémie,"Baisse anormale de la glycémie, pouvant entraîner sueurs, tremblements, faim, confusion et, dans les cas sévères, perte de connaissance."
Acné,"Affection cutanée des follicules pileux et glandes sébacées, responsable de comédons et boutons, parfois kystiques, surtout sur le visage, le dos et la poitrine."
Diabète,"Maladie chronique caractérisée par une hyperglycémie due à un défaut de production d’insuline, une résistance à l’insuline, ou les deux. Elle peut entraîner des complications cardiovasculaires, rénales, oculaires et neurologiques."
Impétigo,"Infection cutanée bactérienne très contagieuse, fréquente chez l’enfant, donnant des lésions suintantes qui forment des croûtes jaunâtres."
Hypertension artérielle,"Élévation persistante de la pression artérielle, souvent asymptomatique, qui augmente le risque d’AVC, d’infarctus et d’insuffisance rénale."
Ulcère gastro-duodénal,"Lésion de la muqueuse de l’estomac ou du duodénum, souvent liée à Helicobacter pylori ou aux anti‑inflammatoires, provoquant douleurs et brûlures épigastriques."
Hémorroïdes,"Dilatations des veines de l’anus et du rectum pouvant provoquer douleur, démangeaisons et saignements lors de la défécation."
Rhume,"Infection virale fréquente des voies respiratoires supérieures, causant nez bouché, écoulement nasal, éternuements, maux de gorge et toux."
Varicelle,"Maladie virale très contagieuse due au virus varicelle‑zona, responsable d’une éruption de vésicules prurigineuses et de fièvre."
Spondylose cervicale,"Dégénérescence liée à l’âge des vertèbres et disques du cou, pouvant entraîner douleurs cervicales, raideur et parfois fourmillements dans les bras."
Hyperthyroïdie,"Excès d’hormones thyroïdiennes, entraînant amaigrissement, palpitations, nervosité, intolérance à la chaleur et tremblements."
Infection urinaire,"Infection du système urinaire (vessie, reins, urètre), généralement bactérienne, causant brûlures urinaires, envies fréquentes et parfois fièvre."
Varices,"Veines dilatées et tortueuses, le plus souvent aux jambes, liées à une insuffisance veineuse. Elles peuvent provoquer lourdeur, douleur et œdème."
SIDA,"Stade avancé de l’infection par le VIH, où le système immunitaire est fortement affaibli, exposant à des infections opportunistes et à certains cancers."
Paralysie (hémorragie cérébrale / AVC),"Perte de fonction motrice due à une atteinte du cerveau, notamment lors d’un accident vasculaire cérébral hémorragique. Elle peut toucher un côté du corps et s’accompagner de troubles de la parole."
Fièvre typhoïde,"Infection bactérienne (Salmonella Typhi) transmise par l’eau ou des aliments contaminés, provoquant fièvre prolongée, douleurs abdominales et troubles digestifs."
Hépatite B,"Infection virale du foie due au VHB, transmissible par le sang et les rapports sexuels. Elle peut devenir chronique et entraîner cirrhose ou cancer du foie."
Infection fongique (mycose),"Infection causée par des champignons, touchant la peau, les ongles ou les muqueuses, souvent avec démangeaisons, rougeur et desquamation."
Hépatite C,"Infection virale du foie due au VHC, transmise principalement par le sang. Souvent silencieuse au début, elle peut devenir chronique et endommager le foie."
Migraine,"Céphalée intense et pulsatile, souvent unilatérale, pouvant s’accompagner de nausées, vomissements, photophobie et parfois d’aura."
