Maladie;Symptome_1;Symptome_2;Symptome_3;Symptome_4;Symptome_5;Symptome_6;Symptome_7;Symptome_8;Symptome_9;Symptome_10;Symptome_11;Symptome_12;Symptome_13;Symptome_14;Symptome_15;Symptome_16;Symptome_17
Infection fongique (mycose);démangeaisons;éruption cutanée;éruptions cutanées nodulaires;taches dyschromiques;;;;;;;;;;;;;
Infection fongique (mycose);éruption cutanée;éruptions cutanées nodulaires;taches dyschromiques;;;;;;;;;;;;;;
Infection fongique (mycose);démangeaisons;éruptions cutanées nodulaires;taches dyschromiques;;;;;;;;;;;;;;
Infection fongique (mycose);démangeaisons;éruption cutanée;taches dyschromiques;;;;;;;;;;;;;;
Infection fongique (mycose);démangeaisons;éruption cutanée;éruptions cutanées nodulaires;;;;;;;;;;;;;;
Infection fongique (mycose);éruption cutanée;éruptions cutanées nodulaires;taches dyschromiques;;;;;;;;;;;;;;
Infection fongique (mycose);démangeaisons;éruptions cutanées nodulaires;taches dyschromiques;;;;;;;;;;;;;;
Infection fongique (mycose);démangeaisons;éruption cutanée;taches dyschromiques;;;;;;;;;;;;;;
Infection fongique (mycose);démangeaisons;éruption cutanée;éruptions cutanées nodulaires;;;;;;;;;;;;;;
Infection fongique (mycose);démangeaisons;éruption cutanée;éruptions cutanées nodulaires;taches dyschromiques;;;;;;;;;;;;;
Allergie;éternuements continus;tremblements;frissons;larmoiement;;;;;;;;;;;;;
Allergie;tremblements;frissons;larmoiement;;;;;;;;;;;;;;
Allergie;éternuements continus;frissons;larmoiement;;;;;;;;;;;;;;
Allergie;éternuements continus;tremblements;larmoiement;;;;;;;;;;;;;;
Allergie;éternuements continus;tremblements;frissons;;;;;;;;;;;;;;
Allergie;tremblements;frissons;larmoiement;;;;;;;;;;;;;;
Allergie;éternuements continus;frissons;larmoiement;;;;;;;;;;;;;;
Allergie;éternuements continus;tremblements;larmoiement;;;;;;;;;;;;;;
Allergie;éternuements continus;tremblements;frissons;;;;;;;;;;;;;;
Allergie;éternuements continus;tremblements;frissons;larmoiement;;;;;;;;;;;;;
RGO (reflux gastro-œsophagien);douleur à l'estomac;acidité;ulcères sur la langue;vomissements;toux;douleur thoracique;;;;;;;;;;;
RGO (reflux gastro-œsophagien);douleur à l'estomac;ulcères sur la langue;vomissements;toux;douleur thoracique;;;;;;;;;;;;
RGO (reflux gastro-œsophagien);douleur à l'estomac;acidité;vomissements;toux;douleur thoracique;;;;;;;;;;;;
RGO (reflux gastro-œsophagien);douleur à l'estomac;acidité;ulcères sur la langue;toux;douleur thoracique;;;;;;;;;;;;
RGO (reflux gastro-œsophagien);douleur à l'estomac;acidité;ulcères sur la langue;vomissements;douleur thoracique;;;;;;;;;;;;
RGO (reflux gastro-œsophagien);douleur à l'estomac;acidité;ulcères sur la langue;vomissements;toux;;;;;;;;;;;;
RGO (reflux gastro-œsophagien);acidité;ulcères sur la langue;vomissements;toux;douleur thoracique;;;;;;;;;;;;
